,HUMIDITY,LIGHT_INTENSITY,LPG_CONCENTRATION,TEMPERATURE,MOTOR,SMOKE,BATTERY_VOLTAGE,CARBON_MONOXIDE,TIMESTAMP
27,{'S': '76.7472'},{'S': '27.6739'},{'S': '3701'},{'S': '37.1865'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3556'},{'S': '-24513'},"{'S': '05/15/2023, 16:47:08'}"
28,{'S': '50.1841'},{'S': '52.7479'},{'S': '0'},{'S': '36.8014'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.2855'},{'S': '0'},"{'S': '05/15/2023, 16:38:00'}"
29,{'S': '49.1518'},{'S': '19.1802'},{'S': '0'},{'S': '37.0421'},{'S': '1'},{'S': 'sensor_char7'},{'S': '12.3346'},{'S': '1'},"{'S': '05/15/2023, 16:41:02'}"
30,{'S': '49.3655'},{'S': '27.7511'},{'S': '0'},{'S': '36.7158'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4813'},{'S': '0'},"{'S': '05/15/2023, 15:24:27'}"
31,{'S': '52.7234'},{'S': '41.4966'},{'S': '0'},{'S': '36.138'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5557'},{'S': '0'},"{'S': '05/15/2023, 15:08:32'}"
32,{'S': '49.2508'},{'S': '25.8631'},{'S': '0'},{'S': '37.0474'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3018'},{'S': '0'},"{'S': '05/15/2023, 16:43:17'}"
33,{'S': '50.2806'},{'S': '30.2303'},{'S': '0'},{'S': '36.2771'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4675'},{'S': '0'},"{'S': '05/15/2023, 15:35:18'}"
34,{'S': '50.2545'},{'S': '29.8169'},{'S': '0'},{'S': '36.2878'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4684'},{'S': '0'},"{'S': '05/15/2023, 15:35:26'}"
35,{'S': '52.4288'},{'S': '158.901'},{'S': '0'},{'S': '36.459'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5567'},{'S': '0'},"{'S': '05/15/2023, 15:12:36'}"
36,{'S': '48.9927'},{'S': '32.7976'},{'S': '0'},{'S': '36.8816'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1596'},{'S': '0'},"{'S': '05/15/2023, 17:24:48'}"
37,{'S': '52.58'},{'S': '47.6541'},{'S': '0'},{'S': '36.2771'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5494'},{'S': '0'},"{'S': '05/15/2023, 15:10:23'}"
38,{'S': '49.4072'},{'S': '31.9297'},{'S': '0'},{'S': '36.689'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4979'},{'S': '0'},"{'S': '05/15/2023, 15:23:21'}"
39,{'S': '49.1648'},{'S': '20.3052'},{'S': '0'},{'S': '36.8228'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1483'},{'S': '0'},"{'S': '05/15/2023, 17:23:26'}"
40,{'S': '49.1909'},{'S': '19.994'},{'S': '0'},{'S': '37.0153'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3049'},{'S': '0'},"{'S': '05/15/2023, 16:42:11'}"
41,{'S': '49.1935'},{'S': '21.8651'},{'S': '0'},{'S': '37.0474'},{'S': '1'},{'S': 'sensor_char7'},{'S': '12.3104'},{'S': '0'},"{'S': '05/15/2023, 16:42:11'}"
42,{'S': '48.9223'},{'S': '33.0147'},{'S': '0'},{'S': '36.8816'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1596'},{'S': '0'},"{'S': '05/15/2023, 17:24:55'}"
43,{'S': '50.2702'},{'S': '18.493'},{'S': '0'},{'S': '36.7211'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.475'},{'S': '0'},"{'S': '05/15/2023, 15:40:20'}"
